"Year","Team1","Team2","Team1_odd","Draw_odd","Team2_odd"
"2014","Australia"," Netherlands","13.23","6.55","1.23"
"2014","Russia","South Korea","1.81","3.6","4.64"
"2014","Brazil","Mexico","1.33","5.33","9.34"
"2014","Belgium ","Algeria","1.33","5.26","10.15"
"2014","Ghana"," USA","2.42","3.4","2.97"
"2014","Iran","Nigeria","4.79","3.5","1.82"
"2014","Germany ","Portugal","2.05","3.53","3.71"
"2014","Argentina","Bosnia & Herzegovina","1.31","5.53","10.26"
"2014","France ","Honduras","1.27","5.87","11.85"
"2014","Switzerland","Ecuador","2.41","3.19","3.16"
"2014","Ivory Coast ","Japan","2.7","3.29","2.71"
"2014","England"," Italy","2.54","2.98","3.21"
"2014","Uruguay"," Costa Rica","1.43","4.31","8.8"
"2014","Colombia","Greece","1.86","3.25","5.09"
"2014","Chile ","Australia","1.42","4.44","8.74"
"2014","Spain"," Netherlands","1.83","3.35","5.06"
"2014","Mexico","Cameroon","2.18","3.15","3.75"
"2014","Brazil","Croatia","1.32","5.16","11.26"
"2010","Netherlands","Spain","3.78","3.33","2.02"
"2010","Uruguay"," Germany","3.92","3.64","1.89"
"2010","Germany "," Spain","2.73","3.32","2.56"
"2010","Uruguay"," Netherlands","5.52","3.52","1.67"
"2010","Paraguay"," Spain","8.43","4.2","1.42"
"2010","Argentina"," Germany","2.3","3.22","3.16"
"2010","Uruguay","Ghana","1.88","3.27","4.35"
"2010","Netherlands","Brazil","4.06","3.27","1.97"
"2010","Spain","Portugal","1.98","3.19","4.16"
"2010","Paraguay","Japan","2.17","3.13","3.59"
"2010","Brazil","Chile","1.52","3.92","6.67"
"2010","Netherlands","Slovakia","1.39","4.35","9.14"
"2010","Argentina","Mexico","1.6","3.69","6.09"
"2010","Germany ","England","2.89","3.03","2.61"
"2010","USA","Ghana","2.42","3.06","3.13"
"2010","Uruguay","South Korea","1.85","3.27","4.7"
"2010","Chile "," Spain","6.91","4.15","1.48"
"2010","Switzerland","Honduras","1.52","4","6.64"
"2010","North Korea","Ivory Coast","8.81","4.88","1.35"
"2010","Portugal ","Brazil","3.51","2.93","2.33"
"2010","Cameroon"," Netherlands","5.26","3.73","1.66"
"2010","Denmark"," Japan","2.22","3.22","3.33"
"2010","Paraguay","New Zealand","1.39","4.4","8.85"
"2010","Slovakia ","Italy","6.78","3.82","1.54"
"2010","Australia","Serbia","4.25","3.55","1.85"
"2010","Ghana"," Germany","7.54","4.23","1.45"
"2010","Slovenia"," England","7.78","4.17","1.44"
"2010","USA","Algeria","1.87","3.55","4.1"
"2010","Greece "," Argentina","7.09","4.09","1.48"
"2010","Nigeria","South Korea","2.89","3.28","2.44"
"2010"," South Africa","France","3.44","3.4","2.1"
"2010","Mexico"," Uruguay","3.72","1.91","3.7"
"2010","Spain","Honduras","1.11","8.36","22.57"
"2010","Chile ","Switzerland","2.16","3.14","3.6"
"2010","Portugal ","North Korea","1.36","4.44","9.84"
"2010","Brazil","Ivory Coast","1.72","3.44","5.32"
"2010","Italy","New Zealand","1.21","5.85","15.63"
"2010","Slovakia "," Paraguay","3.78","3.21","2.05"
"2010","Cameroon"," Denmark","2.87","3.17","2.52"
"2010","Ghana","Australia","2.3","3.14","3.23"
"2010","Netherlands","Japan","1.43","4.1","8.4"
"2010","England","Algeria","1.23","5.52","14.9"
"2010","Slovenia","USA","3.64","3.18","2.11"
"2010","Germany "," Serbia","1.62","3.73","5.72"
"2010","France "," Mexico","2.09","3.12","3.83"
"2010","Greece ","Nigeria","3.77","3.18","2.07"
"2010","Argentina","South Korea","1.5","3.85","7.55"
"2010","South Africa"," Uruguay","3.22","3.04","2.39"
"2010","Spain"," Switzerland","1.27","5.16","13.02"
"2010","Honduras"," Chile","5.68","3.47","1.68"
"2010","Brazil","North Korea","1.1","9.09","28.29"
"2010","Ivory Coast ","Portugal","3.81","3.15","2.09"
"2010","New Zealand","Slovakia","7.41","3.91","1.49"
"2010","Italy","Paraguay","2.13","3.02","3.84"
"2010","Japan","Cameroon","3.61","3.11","2.16"
"2010","Netherlands","Denmark","1.51","3.93","7"
"2010","Germany ","Australia","1.5","3.9","7.22"
"2010","Serbia"," Ghana","2.03","3.22","3.91"
"2010","Algeria"," Slovenia","3.6","3.12","2.16"
"2010","England","USA","1.5","4.04","6.87"
"2010","Argentina","Nigeria","1.4","4.38","8.63"
"2010","South Korea ","Greece","2.71","3","2.82"
"2010","Uruguay","France","3.56","3.13","2.17"
"2010","South Africa","Mexico","2.87","3.14","2.55"
"2006","Italy","France","2.51","2.79","3.07"
"2006","Germany ","Portugal","1.85","3.3","4.29"
"2006","Portugal "," France","3.82","2.87","2.13"
"2006","Germany ","Italy","2.38","2.88","3.21"
"2006","Brazil"," France","1.74","3.25","5.08"
"2006","England","Portugal","2.11","2.97","3.7"
"2006","Italy","Ukraine","1.58","3.38","6.86"
"2006","Germany ","Argentina","2.53","3","2.87"
"2006","Spain"," France","2.32","2.99","3.16"
"2006","Brazil","Ghana","1.26","5.16","10.25"
"2006","Switzerland","Ukraine","2.41","3.02","3.08"
"2006","Italy","Australia","1.51","3.7","7.11"
"2006","Portugal ","Netherlands","3.1","3.03","2.35"
"2006","England","Ecuador","1.49","3.79","7.05"
"2006","Argentina","Mexico","1.37","4.08","9.39"
"2006","Germany ","Sweden","1.63","3.46","5.63"
"2006","Switzerland","South Korea","1.99","2.83","4.41"
"2006","Togo"," France","14.43","6.91","1.14"
"2006","Saudi Arabia "," Spain","16.03","6.71","1.14"
"2006","Ukraine ","Tunisia","1.59","3.58","6.2"
"2006","Croatia","Australia","2.23","3.2","2.95"
"2006","Japan"," Brazil","12","5.25","1.21"
"2006","Czech Republic"," Italy","3.95","3.15","1.95"
"2006","Ghana","USA","2.2","3.25","2.75"
"2006","Ivory Coast ","Serbia and Montenegro","2.1","3.2","3"
"2006","Netherlands","Argentina","3.4","3","2"
"2006","Iran","Angola","2.4","3.1","2.6"
"2006","Portugal ","Mexico","2.2","2.62","3.5"
"2006","Paraguay","Trinidad & Tobago","1.8","3.75","3.3"
"2006","Sweden","England","3.1","2.62","2.37"
"2006","Costa Rica","Poland","4.5","3.3","1.66"
"2006","Spain","Tunisia","1.3","4","9.5"
"2006","Saudi Arabia "," Ukraine","7","3.75","1.4"
"2006","Togo"," Switzerland","6.5","3.6","1.44"
"2006","France ","South Korea","1.44","3.5","7"
"2006","Brazil","Australia","1.2","5","11"
"2006","Japan","Croatia","5","3.3","1.61"
"2006","Czech Republic"," Ghana","1.61","3.3","5"
"2006","Portugal ","Iran","1.3","4","9.5"
"2006","Mexico","Angola","1.4","3.5","8"
"2006","Netherlands","Ivory Coast","1.9","3.1","3.6"
"2006","Sweden","Paraguay","1.9","3.1","3.6"
"2006","England","Trinidad & Tobago","1.13","5.5","15"
"2006","Ecuador","Costa Rica","1.9","3.1","3.6"
"2006","Spain","Ukraine","1.8","3","4.33"
"2006","Brazil","Croatia","1.4","3.5","8"
"2006","France ","Switzerland","1.65","3.25","5.4"
"2006","South Korea ","Togo","2.04","2.87","3.5"
"2006","Italy","Ghana","1.5","3.3","6.5"
"2006","Australia","Japan","2.5","3.15","2.8"
"2006","Angola"," Portugal","9","3.75","1.33"
"2006","Serbia and Montenegro"," Netherlands","4.12","3.06","1.89"
"2006","England","Paraguay","1.61","3.36","5.94"
"2006","Poland"," Ecuador","1.9","3.25","3.75"
"2006","Germany ","Costa Rica","1.26","4.94","11.36"
