result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif
win,3.3,-5.0,6.650000000000006,2.739999999999995,7.150000000000006,8.150000000000006,-38.0,133.0
draw,5.85,-14.420000000000002,17.450000000000003,15.769999999999996,20.050000000000004,17.980000000000004,-78.0,809.0
draw,3.02,-1.71,8.650000000000006,7.159999999999997,8.800000000000011,9.730000000000004,-25.0,403.0
win,3.38,-5.28,7.650000000000006,7.569999999999993,7.820000000000007,12.150000000000006,-28.0,112.0
lose,3.46,-0.22999999999999998,4.27000000000001,1.5499999999999972,6.210000000000008,4.650000000000006,1.0,-12.0
win,3.29,-0.009999999999999787,0.0,2.5999999999999943,-1.2000000000000028,-2.200000000000003,-30.0,271.0
draw,3.15,1.7200000000000002,-5.939999999999998,-4.730000000000004,-5.640000000000001,-6.640000000000001,11.0,-311.0
win,3.2,-0.8999999999999999,-1.6700000000000017,-1.0700000000000074,-1.5300000000000011,-0.5300000000000011,-5.0,14.0
lose,5.25,10.79,-6.670000000000002,-8.170000000000002,-4.219999999999999,-6.219999999999999,14.0,-125.0
win,3.11,1.4499999999999997,1.6899999999999977,0.4399999999999977,4.189999999999998,3.25,32.0,-185.0
lose,3.71,1.37,-1.9000000000000057,-4.200000000000003,-0.5999999999999943,0.09999999999999432,43.0,-559.0
draw,3.3,3.3899999999999997,-2.1200000000000045,-3.5,0.25,1.3799999999999955,-5.0,13.0
draw,3.4,-0.6799999999999997,0.8799999999999955,-0.12000000000000455,2.8799999999999955,0.8799999999999955,35.0,-414.0
lose,3.1,0.14000000000000012,0.21999999999999886,-2.8900000000000006,3.6099999999999994,3.6700000000000017,50.0,-611.0
draw,2.95,0.6200000000000001,-1.0,-4.0,1.0,-1.0,34.0,-277.0
draw,3.5,-6.6,4.939999999999998,4.280000000000001,5.170000000000002,3.0,-56.0,199.0
win,3.15,-1.5699999999999998,2.6299999999999955,2.719999999999999,3.3599999999999994,2.25,-29.0,276.0
lose,3.37,-1.2799999999999998,1.1799999999999926,-0.18999999999999773,1.4099999999999966,0.8199999999999932,-2.0,32.0
lose,1.91,0.020000000000000018,-1.4399999999999977,-3.4099999999999966,0.730000000000004,-2.0,-3.0,38.0
