,Year,date,home_team,away_team,home_score,away_score,home_ranking,away_ranking,rank_dif,goal_dif
148,2006,2006-07-01,Brazil,France,0,1,2,3,-1,-1
149,2006,2006-07-01,England,Portugal,0,0,4,8,-4,0
150,2006,2006-07-04,Germany,Italy,0,2,1,6,-5,-2
151,2006,2006-07-05,Portugal,France,0,1,8,3,5,-1
152,2006,2006-07-08,Germany,Portugal,3,1,1,8,-7,2
153,2006,2006-07-09,Italy,France,1,1,6,3,3,0
154,2006,2006-08-15,Iceland,Spain,0,0,,7,,0
155,2006,2006-08-16,Austria,Hungary,1,2,10,,,-1
156,2006,2006-08-16,Belgium,Kazakhstan,0,0,1,,,0
157,2006,2006-08-16,Bosnia and Herzegovina,France,1,2,,3,,-1
158,2006,2006-08-16,Chile,Colombia,1,2,10,10,0,-1
159,2006,2006-08-16,Czech Republic,Serbia,1,3,6,,,-2
160,2006,2006-08-16,Denmark,Poland,2,0,9,7,2,2
161,2006,2006-08-16,Egypt,Uruguay,0,2,9,8,1,-2
162,2006,2006-08-16,England,Greece,4,0,4,,,4
163,2006,2006-08-16,Germany,Sweden,3,0,1,,,3
164,2006,2006-08-16,Republic of Ireland,Netherlands,0,4,,10,,-4
165,2006,2006-08-16,Italy,Croatia,0,2,6,6,0,-2
166,2006,2006-08-16,Liechtenstein,Switzerland,0,3,,8,,-3
167,2006,2006-08-16,Luxembourg,Turkey,0,1,,10,,-1
168,2006,2006-08-16,Norway,Brazil,1,1,,2,,0
169,2006,2006-08-16,Russia,Latvia,1,0,9,,,1
170,2006,2006-09-01,Denmark,Portugal,4,2,9,8,1,2
171,2006,2006-09-02,Austria,Costa Rica,2,2,10,,,0
172,2006,2006-09-02,Czech Republic,Wales,2,1,6,,,1
173,2006,2006-09-02,Egypt,Burundi,4,1,9,,,3
174,2006,2006-09-02,England,Andorra,5,0,4,,,5
175,2006,2006-09-02,Georgia,France,0,3,,3,,-3
176,2006,2006-09-02,Germany,Republic of Ireland,1,0,1,,,1
177,2006,2006-09-02,Italy,Lithuania,1,1,6,,,0
178,2006,2006-09-02,Luxembourg,Netherlands,0,1,,10,,-1
179,2006,2006-09-02,Nigeria,Niger,2,0,9,,,2
180,2006,2006-09-02,Poland,Finland,1,3,7,,,-2
181,2006,2006-09-02,Spain,Liechtenstein,4,0,7,,,4
182,2006,2006-09-02,Switzerland,Venezuela,1,0,8,,,1
183,2006,2006-09-03,Argentina,Brazil,0,3,5,2,3,-3
184,2006,2006-09-05,Wales,Brazil,0,2,,2,,-2
185,2006,2006-09-06,Armenia,Belgium,0,1,,1,,-1
186,2006,2006-09-06,Austria,Venezuela,0,1,10,,,-1
187,2006,2006-09-06,Finland,Portugal,1,1,,8,,0
188,2006,2006-09-06,France,Italy,3,1,3,6,-3,2
189,2006,2006-09-06,Iceland,Denmark,0,2,,9,,-2
190,2006,2006-09-06,North Macedonia,England,0,1,,4,,-1
191,2006,2006-09-06,Netherlands,Belarus,3,0,10,,,3
192,2006,2006-09-06,Northern Ireland,Spain,3,2,,7,,1
193,2006,2006-09-06,Poland,Serbia,1,1,7,,,0
194,2006,2006-09-06,Russia,Croatia,0,0,9,6,3,0
195,2006,2006-09-06,San Marino,Germany,0,13,,1,,-13
196,2006,2006-09-06,Slovakia,Czech Republic,0,3,,6,,-3
197,2006,2006-09-06,Switzerland,Costa Rica,2,0,8,,,2
198,2006,2006-09-06,Turkey,Malta,2,0,10,,,2
199,2006,2006-09-27,Venezuela,Uruguay,1,0,,8,,1
200,2006,2006-10-06,Liechtenstein,Austria,1,2,,10,,-1
201,2006,2006-10-07,Botswana,Egypt,0,0,,9,,0
202,2006,2006-10-07,Bulgaria,Netherlands,1,1,,10,,0
203,2006,2006-10-07,Chile,Peru,3,2,10,,,1
204,2006,2006-10-07,Croatia,Andorra,7,0,6,,,7
205,2006,2006-10-07,Czech Republic,San Marino,7,0,6,,,7
206,2006,2006-10-07,Denmark,Northern Ireland,0,0,9,,,0
207,2006,2006-10-07,England,North Macedonia,0,0,4,,,0
208,2006,2006-10-07,Germany,Georgia,2,0,1,,,2
209,2006,2006-10-07,Hungary,Turkey,0,1,,10,,-1
210,2006,2006-10-07,Italy,Ukraine,2,0,6,,,2
211,2006,2006-10-07,Kazakhstan,Poland,0,1,,7,,-1
212,2006,2006-10-07,Portugal,Azerbaijan,3,0,8,,,3
213,2006,2006-10-07,Russia,Israel,1,1,9,,,0
214,2006,2006-10-07,Scotland,France,1,0,,3,,1
215,2006,2006-10-07,Serbia,Belgium,1,0,,1,,1
216,2006,2006-10-07,Sweden,Spain,2,0,,7,,2
217,2006,2006-10-08,Lesotho,Nigeria,0,1,,9,,-1
218,2006,2006-10-10,Brazil,Ecuador,2,1,2,,,1
219,2006,2006-10-11,Austria,Switzerland,2,1,10,8,2,1
220,2006,2006-10-11,Belgium,Azerbaijan,3,0,1,,,3
221,2006,2006-10-11,Croatia,England,2,0,6,4,2,2
222,2006,2006-10-11,France,Faroe Islands,5,0,3,,,5
223,2006,2006-10-11,Georgia,Italy,1,3,,6,,-2
224,2006,2006-10-11,Republic of Ireland,Czech Republic,1,1,,6,,0
225,2006,2006-10-11,Liechtenstein,Denmark,0,4,,9,,-4
226,2006,2006-10-11,Netherlands,Albania,2,1,10,,,1
227,2006,2006-10-11,Peru,Chile,0,1,,10,,-1
228,2006,2006-10-11,Poland,Portugal,2,1,7,8,-1,1
229,2006,2006-10-11,Russia,Estonia,2,0,9,,,2
230,2006,2006-10-11,Slovakia,Germany,1,4,,1,,-3
231,2006,2006-10-11,Spain,Argentina,2,1,7,5,2,1
232,2006,2006-10-11,Turkey,Moldova,5,0,10,,,5
233,2006,2006-10-18,Uruguay,Venezuela,4,0,8,,,4
234,2006,2006-11-15,Austria,Trinidad and Tobago,4,1,10,,,3
235,2006,2006-11-15,Belgium,Poland,0,1,1,7,-6,-1
236,2006,2006-11-15,Chile,Paraguay,3,2,10,,,1
237,2006,2006-11-15,Cyprus,Germany,1,1,,1,,0
238,2006,2006-11-15,Czech Republic,Denmark,1,1,6,9,-3,0
239,2006,2006-11-15,Egypt,South Africa,1,0,9,,,1
240,2006,2006-11-15,France,Greece,1,0,3,,,1
241,2006,2006-11-15,Georgia,Uruguay,2,0,,8,,2
242,2006,2006-11-15,Israel,Croatia,3,4,,6,,-1
243,2006,2006-11-15,Italy,Turkey,1,1,6,10,-4,0
244,2006,2006-11-15,North Macedonia,Russia,0,2,,9,,-2
245,2006,2006-11-15,Netherlands,England,1,1,10,4,6,0
246,2006,2006-11-15,Portugal,Kazakhstan,3,0,8,,,3
247,2006,2006-11-15,Spain,Romania,0,1,7,,,-1
248,2006,2006-11-15,Switzerland,Brazil,1,2,8,2,6,-1
249,2006,2006-12-06,United Arab Emirates,Poland,2,5,,7,,-3
250,2006,2006-12-09,Silesia,Poland,1,1,,7,,0
251,2007,2007-02-03,Poland,Estonia,4,0,7,,,4
252,2007,2007-02-06,Australia,Denmark,1,3,,9,,-2
253,2007,2007-02-06,Nigeria,Ghana,1,4,9,,,-3
254,2007,2007-02-06,Portugal,Brazil,2,0,8,2,6,2
255,2007,2007-02-07,Belgium,Czech Republic,0,2,1,6,-5,-2
256,2007,2007-02-07,Colombia,Uruguay,1,3,10,8,2,-2
257,2007,2007-02-07,Croatia,Norway,2,1,6,,,1
258,2007,2007-02-07,Egypt,Sweden,2,0,9,,,2
259,2007,2007-02-07,England,Spain,0,1,4,7,-3,-1
260,2007,2007-02-07,France,Argentina,0,1,3,5,-2,-1
261,2007,2007-02-07,Georgia,Turkey,1,0,,10,,1
262,2007,2007-02-07,Germany,Switzerland,3,1,1,8,-7,2
263,2007,2007-02-07,Malta,Austria,1,1,,10,,0
264,2007,2007-02-07,Netherlands,Russia,4,1,10,9,1,3
265,2007,2007-02-07,Poland,Slovakia,2,2,7,,,0
266,2007,2007-02-07,United States,Mexico,2,0,8,9,-1,2
267,2007,2007-02-07,Venezuela,Chile,0,1,,10,,-1
268,2007,2007-02-28,Mexico,Venezuela,3,1,9,,,2
269,2007,2007-03-22,Jamaica,Switzerland,0,2,,8,,-2
270,2007,2007-03-24,Austria,Ghana,1,1,10,,,0
271,2007,2007-03-24,Brazil,Chile,4,0,2,10,-8,4
272,2007,2007-03-24,Croatia,North Macedonia,2,1,6,,,1
273,2007,2007-03-24,Czech Republic,Germany,1,2,6,1,5,-1
274,2007,2007-03-24,Estonia,Russia,0,2,,9,,-2
275,2007,2007-03-24,Greece,Turkey,1,4,,10,,-3
276,2007,2007-03-24,Israel,England,0,0,,4,,0
277,2007,2007-03-24,South Korea,Uruguay,0,2,,8,,-2
278,2007,2007-03-24,Lithuania,France,0,1,,3,,-1
279,2007,2007-03-24,Netherlands,Romania,0,0,10,,,0
280,2007,2007-03-24,Nigeria,Uganda,1,0,9,,,1
281,2007,2007-03-24,Poland,Azerbaijan,5,0,7,,,5
282,2007,2007-03-24,Portugal,Belgium,4,0,8,1,7,4
283,2007,2007-03-24,Spain,Denmark,2,1,7,9,-2,1
284,2007,2007-03-25,Colombia,Switzerland,3,1,10,8,2,2
285,2007,2007-03-25,Egypt,Mauritania,3,0,9,,,3
286,2007,2007-03-25,Mexico,Paraguay,2,1,9,,,1
287,2007,2007-03-25,United States,Ecuador,3,1,8,,,2
288,2007,2007-03-27,Brazil,Ghana,1,0,2,,,1
289,2007,2007-03-28,Andorra,England,0,3,,4,,-3
290,2007,2007-03-28,Chile,Costa Rica,1,1,10,,,0
291,2007,2007-03-28,Colombia,Paraguay,2,0,10,,,2
292,2007,2007-03-28,Czech Republic,Cyprus,1,0,6,,,1
293,2007,2007-03-28,France,Austria,1,0,3,10,-7,1
294,2007,2007-03-28,Germany,Denmark,0,1,1,9,-8,-1
295,2007,2007-03-28,Italy,Scotland,2,0,6,,,2
296,2007,2007-03-28,Mexico,Ecuador,4,2,9,,,2
