date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,goal_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Country_Code_home,Previous_Rank_away,Total_Points_away,Country_Code_away,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,Elo_ranking_home,Elo_rating_home,total_game_home,total_wins_home,total_draw_home,total_lose_home,goal_for_home,goal_against_home,Elo_ranking_away,Elo_rating_away,total_game_away,total_wins_away,total_draw_away,total_lose_away,goal_for_away,goal_against_away,points_dif,win_rate_home,draw_rate_home,lose_rate_home,goal_balance_home,win_rate_away,draw_rate_away,lose_rate_away,goal_balance_away,Elo_ranking_dif,Elo_rating_dif,win_rate_dif,draw_rate_dif,lose_rate_dif,goal_balance_dif,goal_for_dif,goal_against_dif
2021,Sweden,Poland,win,2.99,3.41,2.48,3,2,1,75.76,77.47,74.76,74.18,75.78,77.89,73.39,72.33,20.0,1558.0,SWE,19.0,1559.0,POL,0.5100000000000002,-0.01999999999999602,-0.4200000000000017,1.3700000000000045,1.8500000000000085,1.0,24,1821,1075,528,230,317,2147,1414,30,1770,869,377,214,278,1489,1171,-1.0,49.116279069767444,21.3953488372093,29.48837209302326,0.6818604651162791,43.383199079401614,24.62600690448792,31.990794016110474,0.3659378596087457,-6,51,5.73307999036583,5.73307999036583,5.73307999036583,0.31592260550753337,0.31592260550753337,0.31592260550753337
2021,Sweden,Slovakia,win,1.91,3.29,4.82,1,0,1,75.76,77.47,74.76,74.18,73.0,68.0,75.0,78.0,20.0,1558.0,SWE,33.0,1478.0,SVK,-2.91,2.760000000000005,9.469999999999999,-0.23999999999999488,-3.819999999999993,-13.0,24,1821,1075,528,230,317,2147,1414,47,1667,325,129,78,118,463,418,80.0,49.116279069767444,21.3953488372093,29.48837209302326,0.6818604651162791,39.69230769230769,24.0,36.30769230769231,0.13846153846153847,-23,154,9.42397137745975,9.42397137745975,9.42397137745975,0.5433989266547405,0.5433989266547405,0.5433989266547405
2018,Sweden,South Korea,win,2.25,3.05,3.91,1,0,1,75.76,77.47,74.76,74.18,71.5,71.9,70.2,68.8,18.0,1000.0,SWE,60.0,569.0,KOR,-1.6600000000000001,4.260000000000005,5.569999999999993,4.560000000000002,5.38000000000001,-42.0,17,1851,1037,507,225,305,2088,1374,23,1778,958,519,236,203,1739,879,431.0,48.89103182256509,21.697203471552555,29.411764705882355,0.6885245901639344,54.17536534446764,24.63465553235908,21.189979123173277,0.8977035490605428,-6,73,-5.284333521902553,-5.284333521902553,-5.284333521902553,-0.20917895889660842,-0.20917895889660842,-0.20917895889660842
2008,Sweden,Spain,lose,5.99,3.55,1.63,1,2,-1,75.76,77.47,74.76,74.18,84.61,83.06,84.44,82.83,24.0,864.0,SWE,4.0,1349.0,ESP,4.36,-8.849999999999994,-5.590000000000003,-9.679999999999993,-8.649999999999991,20.0,30,1759,909,441,200,268,1882,1251,1,2100,554,304,138,112,1057,527,-485.0,48.51485148514851,22.002200220022004,29.48294829482948,0.6941694169416942,54.87364620938629,24.90974729241877,20.216606498194945,0.9566787003610109,29,-341,-6.358794724237775,-6.358794724237775,-6.358794724237775,-0.2625092834193167,-0.2625092834193167,-0.2625092834193167
2018,Sweden,Switzerland,win,3.37,2.95,2.54,1,0,1,75.76,77.47,74.76,74.18,76.94,74.88,75.81,76.44,18.0,1000.0,SWE,8.0,1190.0,SUI,0.8300000000000001,-1.1799999999999926,2.5900000000000034,-1.0499999999999972,-2.259999999999991,10.0,17,1851,1037,507,225,305,2088,1374,12,1922,808,283,173,352,1184,1378,-190.0,48.89103182256509,21.697203471552555,29.411764705882355,0.6885245901639344,35.024752475247524,21.41089108910891,43.56435643564357,-0.2400990099009901,5,-71,13.866279347317565,13.866279347317565,13.866279347317565,0.9286236000649245,0.9286236000649245,0.9286236000649245
2021,Sweden,Ukraine,lose,2.33,3.23,3.4,1,2,-1,75.76,77.47,74.76,74.18,75.0,74.67,73.83,69.5,20.0,1558.0,SWE,24.0,1521.0,UKR,-1.0699999999999998,0.7600000000000051,2.799999999999997,0.9300000000000068,4.680000000000007,-4.0,24,1821,1075,528,230,317,2147,1414,25,1817,290,130,83,77,400,294,37.0,49.116279069767444,21.3953488372093,29.48837209302326,0.6818604651162791,44.827586206896555,28.620689655172416,26.551724137931032,0.36551724137931035,-1,4,4.288692862870889,4.288692862870889,4.288692862870889,0.3163432237369687,0.3163432237369687,0.3163432237369687
2018,Switzerland,Costa Rica,draw,1.59,3.68,7.53,2,2,0,76.94,74.88,75.81,76.44,73.0,73.0,73.0,74.0,8.0,1190.0,SUI,26.0,831.0,CRC,-5.94,3.9399999999999977,1.8799999999999955,2.8100000000000023,2.4399999999999977,-18.0,12,1922,808,283,173,352,1184,1378,40,1724,691,319,163,209,1234,797,359.0,35.024752475247524,21.41089108910891,43.56435643564357,-0.2400990099009901,46.164978292329955,23.589001447178003,30.246020260492042,0.6324167872648335,-28,198,-11.140225817082431,-11.140225817082431,-11.140225817082431,-0.8725157971658236,-0.8725157971658236,-0.8725157971658236
2008,Switzerland,Czech Republic,lose,2.84,3.05,2.59,0,1,-1,76.94,74.88,75.81,76.44,76.13,74.8,74.47,74.27,44.0,657.0,SUI,6.0,1290.0,CZE,0.25,0.8100000000000023,0.0799999999999983,1.3400000000000034,2.1700000000000017,38.0,21,1793,703,228,147,328,1014,1285,12,1848,695,340,155,200,1331,880,-633.0,32.432432432432435,20.910384068278805,46.65718349928876,-0.38549075391180654,48.92086330935252,22.302158273381295,28.776978417266186,0.6489208633093525,9,-55,-16.488430876920084,-16.488430876920084,-16.488430876920084,-1.034411617221159,-1.034411617221159,-1.034411617221159
2014,Switzerland,Ecuador,win,2.41,3.19,3.16,2,1,1,76.94,74.88,75.81,76.44,71.88,71.56,70.94,68.94,8.0,1113.0,SUI,23.0,852.0,ECU,-0.75,5.060000000000002,3.319999999999993,4.8700000000000045,7.5,-15.0,21,1792,763,256,165,342,1100,1340,16,1847,473,135,122,216,557,774,261.0,33.551769331585845,21.62516382699869,44.82306684141547,-0.3145478374836173,28.541226215644823,25.792811839323466,45.66596194503171,-0.4587737843551797,5,-55,5.010543115941022,5.010543115941022,5.010543115941022,0.14422594687156237,0.14422594687156237,0.14422594687156237
2014,Switzerland,France,lose,4.46,3.51,1.87,2,5,-3,76.94,74.88,75.81,76.44,83.28,83.28,82.56,81.72,8.0,1113.0,SUI,20.0,893.0,FRA,2.59,-6.340000000000003,-8.400000000000006,-6.75,-5.280000000000001,-12.0,21,1792,763,256,165,342,1100,1340,6,1966,791,375,168,248,1387,1151,220.0,33.551769331585845,21.62516382699869,44.82306684141547,-0.3145478374836173,47.40834386852086,21.238938053097346,31.3527180783818,0.29835651074589126,15,-174,-13.856574536935014,-13.856574536935014,-13.856574536935014,-0.6129043482295086,-0.6129043482295086,-0.6129043482295086
