Date,Home,Away,Score_Home,Score_Away,xG_Home,xG_Away,Elo_ranking_home,Elo_rating_home,avg_rank_home,avg_rating_home,Elo_ranking_away,Elo_rating_away,avg_rank_away,avg_rating_away,goal_dif,xG_dif,Elo_ranking_dif,Elo_rating_dif,avg_rank_dif,avg_rating_dif
2018,Croatia,England,2,1,1.7,0.6,10,1925,12,1875,7,1960,4,1979,1,1.1,3,-35,8,-104
2018,Belgium,England,2,0,1.5,1.0,3,2035,24,1740,7,1960,4,1979,2,0.5,-4,75,20,-239
2018,France,Croatia,4,2,1.1,1.1,2,2094,17,1774,10,1925,12,1875,2,0.0,-8,169,5,-101
2021,Brazil,Venezuela,3,0,4.9,0.1,1,2149,4,1997,45,1677,85,1414,3,4.800000000000001,-44,472,-81,583
2021,Argentina,Chile,1,1,2.8,1.0,3,2101,5,1983,27,1794,28,1677,0,1.7999999999999998,-24,307,-23,306
2021,Colombia,Ecuador,1,0,0.5,0.3,13,1904,50,1602,16,1849,66,1507,1,0.2,-3,55,-16,95
2021,Paraguay,Bolivia,3,1,4.0,0.9,38,1728,23,1756,43,1693,59,1503,2,3.1,-5,35,-36,253
2021,Colombia,Venezuela,0,0,2.3,0.1,13,1904,50,1602,45,1677,85,1414,0,2.1999999999999997,-32,227,-35,188
2021,Chile,Bolivia,1,0,1.9,0.8,27,1794,28,1677,43,1693,59,1503,1,1.0999999999999999,-16,101,-31,174
2021,Brazil,Peru,4,0,3.5,1.7,1,2149,4,1997,22,1835,35,1674,4,1.8,-21,314,-31,323
2021,Argentina,Uruguay,1,0,0.8,0.1,3,2101,5,1983,17,1848,12,1877,1,0.7000000000000001,-14,253,-7,106
2021,Venezuela,Ecuador,2,2,1.1,3.1,45,1677,85,1414,16,1849,66,1507,0,-2.0,29,-172,19,-93
2021,Uruguay,Chile,1,1,1.5,0.8,17,1848,12,1877,27,1794,28,1677,0,0.7,-10,54,-16,200
2021,Colombia,Peru,1,2,1.5,0.9,13,1904,50,1602,22,1835,35,1674,-1,0.6,-9,69,15,-72
2021,Argentina,Paraguay,1,0,1.1,0.5,3,2101,5,1983,38,1728,23,1756,1,0.6000000000000001,-35,373,-18,227
2021,Ecuador,Peru,2,2,2.1,1.5,16,1849,66,1507,22,1835,35,1674,0,0.6000000000000001,-6,14,31,-167
2021,Bolivia,Uruguay,0,2,0.1,3.4,43,1693,59,1503,17,1848,12,1877,-2,-3.3,26,-155,47,-374
2021,Brazil,Colombia,2,1,2.8,0.2,1,2149,4,1997,13,1904,50,1602,1,2.5999999999999996,-12,245,-46,395
2021,Chile,Paraguay,0,2,0.2,1.4,27,1794,28,1677,38,1728,23,1756,-2,-1.2,-11,66,5,-79
2021,Brazil,Ecuador,1,1,1.1,0.6,1,2149,4,1997,16,1849,66,1507,0,0.5000000000000001,-15,300,-62,490
2021,Venezuela,Peru,0,1,0.7,1.7,45,1677,85,1414,22,1835,35,1674,-1,-1.0,23,-158,50,-260
2021,Bolivia,Argentina,1,4,0.3,4.3,43,1693,59,1503,3,2101,5,1983,-3,-4.0,40,-408,54,-480
2021,Uruguay,Paraguay,1,0,1.8,0.8,17,1848,12,1877,38,1728,23,1756,1,1.0,-21,120,-11,121
2021,Peru,Paraguay,3,3,1.8,2.5,22,1835,35,1674,38,1728,23,1756,0,-0.7,-16,107,12,-82
2021,Uruguay,Colombia,0,0,0.3,0.5,17,1848,12,1877,13,1904,50,1602,0,-0.2,4,-56,-38,275
2021,Brazil,Chile,1,0,2.3,0.5,1,2149,4,1997,27,1794,28,1677,1,1.7999999999999998,-26,355,-24,320
2021,Argentina,Ecuador,3,0,3.2,1.3,3,2101,5,1983,16,1849,66,1507,3,1.9000000000000001,-13,252,-61,476
2021,Brazil,Peru,1,0,2.4,0.7,1,2149,4,1997,22,1835,35,1674,1,1.7,-21,314,-31,323
2021,Argentina,Colombia,1,1,2.2,0.7,3,2101,5,1983,13,1904,50,1602,0,1.5000000000000002,-10,197,-45,381
