date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,goal_dif
2006,Netherlands,Ivory Coast,win,1.9,3.1,3.6,2,1,-1.7000000000000002,81.0,81.47,80.29,78.88,76.0,77.6,75.8,73.8,3.0,790.0,42.0,626.0,5.0,3.870000000000005,4.490000000000009,5.079999999999998,-39.0,164.0,1
2010,Netherlands,Japan,win,1.43,4.1,8.4,1,0,-6.9700000000000015,81.0,81.47,80.29,78.88,76.0,75.0,77.0,76.0,3.0,1288.0,43.0,729.0,5.0,6.469999999999999,3.2900000000000063,2.8799999999999955,-40.0,559.0,1
2014,Netherlands,Mexico,win,2.11,3.35,3.72,2,1,-1.6100000000000003,81.0,81.47,80.29,78.88,76.94,77.28,76.17,75.0,9.0,1106.0,21.0,892.0,4.060000000000001,4.189999999999999,4.1200000000000045,3.879999999999996,-12.0,214.0,1
2010,Netherlands,Slovakia,win,1.39,4.35,9.14,2,1,-7.750000000000001,81.0,81.47,80.29,78.88,73.0,68.0,75.0,78.0,3.0,1288.0,33.0,752.0,8.0,13.47,5.290000000000006,0.8799999999999955,-30.0,536.0,1
2014,Nigeria,Bosnia and Herzegovina,win,4.23,3.65,1.87,1,0,2.3600000000000003,77.5,78.5,71.5,75.0,74.0,77.0,75.0,72.0,37.0,701.0,19.0,899.0,3.5,1.5,-3.5,3.0,18.0,-198.0,1
2018,Nigeria,Iceland,win,3.0,3.07,2.68,2,0,0.31999999999999984,77.5,78.5,71.5,75.0,70.67,71.5,71.17,69.33,51.0,651.0,22.0,959.0,6.829999999999997,7.0,0.3299999999999983,5.670000000000003,29.0,-308.0,2
2006,Paraguay,Trinidad and Tobago,win,1.8,3.75,3.3,2,0,-1.4999999999999998,74.0,75.08,72.85,71.92,61.0,67.0,59.0,57.0,30.0,672.0,50.0,608.0,13.0,8.079999999999998,13.849999999999996,14.920000000000002,-20.0,64.0,2
2014,Portugal,Ghana,win,1.78,4.68,3.74,2,1,-1.96,81.94,82.33,81.44,80.44,76.0,79.5,74.5,73.5,5.0,1172.0,24.0,851.0,5.939999999999998,2.8299999999999983,6.939999999999998,6.939999999999998,-19.0,321.0,1
2006,Portugal,Iran,win,1.3,4.0,9.5,2,0,-8.2,81.94,82.33,81.44,80.44,75.0,81.0,73.0,72.0,10.0,753.0,19.0,703.0,6.939999999999998,1.3299999999999983,8.439999999999998,8.439999999999998,-9.0,50.0,2
2006,Portugal,Mexico,win,2.2,2.62,3.5,2,1,-1.2999999999999998,81.94,82.33,81.44,80.44,76.94,77.28,76.17,75.0,10.0,753.0,5.0,767.0,5.0,5.049999999999997,5.269999999999996,5.439999999999998,5.0,-14.0,1
2018,Portugal,Morocco,win,1.69,3.72,6.11,1,0,-4.42,81.94,82.33,81.44,80.44,77.0,78.5,72.5,78.5,3.0,1358.0,40.0,748.0,4.939999999999999,3.8299999999999983,8.939999999999998,1.9399999999999975,-37.0,610.0,1
2006,Portugal,Netherlands,win,3.1,3.03,2.35,1,0,0.75,81.94,82.33,81.44,80.44,81.0,81.47,80.29,78.88,10.0,753.0,3.0,790.0,0.9399999999999976,0.8599999999999994,1.1499999999999917,1.5600000000000025,7.0,-37.0,1
