date,home_team,away_team,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,result,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away
2018,Colombia,Japan,1.88,3.33,5.13,1,2,lose,-3.25,77.9,79.2,77.6,75.9,76.0,75.0,77.0,76.0,13.0,1078.0,57.0,598.0
2014,Colombia,Uruguay,2.13,3.33,3.69,2,0,win,-1.56,77.9,79.2,77.6,75.9,78.38,80.69,75.44,77.0,4.0,1200.0,6.0,1132.0
2014,Costa Rica,England,4.3,3.94,1.79,0,0,draw,2.51,73.0,73.0,73.0,74.0,82.44,83.5,81.56,81.06,31.0,743.0,13.0,1041.0
2014,Costa Rica,Greece,2.65,3.07,2.97,1,1,draw,-0.3200000000000003,73.0,73.0,73.0,74.0,75.12,75.12,74.12,75.12,31.0,743.0,12.0,1055.0
2006,Costa Rica,Poland,4.5,3.3,1.66,1,2,lose,2.84,73.0,73.0,73.0,74.0,75.78,77.89,73.39,72.33,21.0,700.0,22.0,695.0
2018,Costa Rica,Serbia,5.26,3.38,1.85,0,1,lose,3.4099999999999997,73.0,73.0,73.0,74.0,77.67,78.67,77.33,74.33,26.0,831.0,36.0,756.0
2006,Croatia,Australia,2.23,3.2,2.95,2,2,draw,-0.7200000000000002,78.12,78.5,76.75,74.62,72.17,71.56,71.11,69.28,20.0,701.0,48.0,610.0
2018,Croatia,Denmark,1.96,3.24,4.78,1,1,draw,-2.8200000000000003,78.12,78.5,76.75,74.62,76.78,75.11,77.06,75.5,17.0,1048.0,12.0,1099.0
2018,Croatia,England,3.91,2.99,2.28,2,1,win,1.6300000000000003,78.12,78.5,76.75,74.62,82.44,83.5,81.56,81.06,17.0,1048.0,15.0,1047.0
2014,Croatia,Mexico,2.67,3.46,2.64,1,3,lose,0.029999999999999805,78.12,78.5,76.75,74.62,76.94,77.28,76.17,75.0,16.0,971.0,21.0,892.0
2018,Croatia,Nigeria,1.68,3.75,6.03,2,0,win,-4.3500000000000005,78.12,78.5,76.75,74.62,77.5,78.5,71.5,75.0,17.0,1048.0,51.0,651.0
2006,Czech Republic,Ghana,1.61,3.3,5.0,0,2,lose,-3.3899999999999997,76.13,74.8,74.47,74.27,76.0,79.5,74.5,73.5,2.0,796.0,50.0,608.0
2006,Czech Republic,Italy,3.95,3.15,1.95,0,2,lose,2.0,76.13,74.8,74.47,74.27,82.65,82.24,81.65,81.65,2.0,796.0,12.0,741.0
2018,Denmark,Australia,1.93,3.4,4.58,1,1,draw,-2.6500000000000004,76.78,75.11,77.06,75.5,72.17,71.56,71.11,69.28,12.0,1099.0,38.0,763.0
2018,Denmark,France,5.37,2.74,2.08,0,0,draw,3.29,76.78,75.11,77.06,75.5,83.28,83.28,82.56,81.72,12.0,1099.0,9.0,1183.0
2010,Denmark,Japan,2.22,3.22,3.33,1,3,lose,-1.1099999999999999,76.78,75.11,77.06,75.5,76.0,75.0,77.0,76.0,28.0,827.0,43.0,729.0
2006,Ecuador,Costa Rica,1.9,3.1,3.6,3,0,win,-1.7000000000000002,71.88,71.56,70.94,68.94,73.0,73.0,73.0,74.0,37.0,647.0,21.0,700.0
2014,Ecuador,France,5.42,4.12,1.62,0,0,draw,3.8,71.88,71.56,70.94,68.94,83.28,83.28,82.56,81.72,23.0,852.0,20.0,893.0
2018,Egypt,Uruguay,8.23,4.1,1.51,0,1,lose,6.720000000000001,70.7,71.0,70.6,68.4,78.38,80.69,75.44,77.0,31.0,814.0,21.0,924.0
2010,England,Algeria,1.23,5.52,14.9,0,0,draw,-13.67,82.44,83.5,81.56,81.06,77.0,77.0,78.0,76.0,9.0,1076.0,26.0,784.0
2018,England,Belgium,2.51,2.84,3.58,0,1,lose,-1.0700000000000003,82.44,83.5,81.56,81.06,80.11,79.89,79.11,78.72,15.0,1047.0,5.0,1325.0
2006,England,Ecuador,1.49,3.79,7.05,1,0,win,-5.56,82.44,83.5,81.56,81.06,71.88,71.56,70.94,68.94,9.0,757.0,37.0,647.0
2014,England,Italy,2.54,2.98,3.21,1,2,lose,-0.6699999999999999,82.44,83.5,81.56,81.06,82.65,82.24,81.65,81.65,13.0,1041.0,7.0,1120.0
2018,England,Panama,1.22,6.33,18.11,6,1,win,-16.89,82.44,83.5,81.56,81.06,68.0,68.0,70.0,68.0,15.0,1047.0,55.0,636.0
2006,England,Paraguay,1.61,3.36,5.94,1,0,win,-4.33,82.44,83.5,81.56,81.06,74.0,75.08,72.85,71.92,9.0,757.0,30.0,672.0
2006,England,Portugal,2.11,2.97,3.7,0,0,draw,-1.5900000000000003,82.44,83.5,81.56,81.06,81.94,82.33,81.44,80.44,9.0,757.0,10.0,753.0
2006,England,Trinidad and Tobago,1.13,5.5,15.0,2,0,win,-13.870000000000001,82.44,83.5,81.56,81.06,61.0,67.0,59.0,57.0,9.0,757.0,50.0,608.0
2010,England,United States,1.5,4.04,6.87,1,1,draw,-5.37,82.44,83.5,81.56,81.06,74.39,74.0,73.67,72.5,9.0,1076.0,14.0,963.0
2018,France,Argentina,2.43,3.09,3.37,4,3,win,-0.94,83.28,83.28,82.56,81.72,82.53,84.74,81.05,79.47,9.0,1183.0,4.0,1348.0
2018,France,Australia,1.26,7.16,10.92,2,1,win,-9.66,83.28,83.28,82.56,81.72,72.17,71.56,71.11,69.28,9.0,1183.0,38.0,763.0
2018,France,Belgium,2.61,3.12,3.08,1,0,win,-0.4700000000000002,83.28,83.28,82.56,81.72,80.11,79.89,79.11,78.72,9.0,1183.0,5.0,1325.0
2018,France,Croatia,2.14,3.08,4.24,4,2,win,-2.1,83.28,83.28,82.56,81.72,78.12,78.5,76.75,74.62,9.0,1183.0,17.0,1048.0
2014,France,Germany,2.85,3.12,2.72,0,1,lose,0.1299999999999999,83.28,83.28,82.56,81.72,83.83,82.44,83.11,81.22,20.0,893.0,2.0,1318.0
2014,France,Honduras,1.27,5.87,11.85,3,0,win,-10.58,83.28,83.28,82.56,81.72,68.5,68.0,70.0,67.5,20.0,893.0,42.0,692.0
2010,France,Mexico,2.09,3.12,3.83,0,2,lose,-1.7400000000000002,83.28,83.28,82.56,81.72,76.94,77.28,76.17,75.0,7.0,1117.0,17.0,947.0
2014,France,Nigeria,1.41,4.61,8.63,2,0,win,-7.220000000000001,83.28,83.28,82.56,81.72,77.5,78.5,71.5,75.0,20.0,893.0,37.0,701.0
2018,France,Peru,1.61,3.89,6.56,1,0,win,-4.949999999999999,83.28,83.28,82.56,81.72,71.6,73.1,70.7,69.5,9.0,1183.0,11.0,1128.0
2006,France,South Korea,1.44,3.5,7.0,1,1,draw,-5.5600000000000005,83.28,83.28,82.56,81.72,71.5,71.9,70.2,68.8,5.0,768.0,29.0,680.0
2006,France,Switzerland,1.65,3.25,5.4,0,0,draw,-3.7500000000000004,83.28,83.28,82.56,81.72,76.94,74.88,75.81,76.44,5.0,768.0,35.0,655.0
2014,Germany,Algeria,1.31,5.57,10.19,2,1,win,-8.879999999999999,83.83,82.44,83.11,81.22,77.0,77.0,78.0,76.0,2.0,1318.0,26.0,792.0
2014,Germany,Argentina,2.32,3.28,3.39,1,0,win,-1.0700000000000003,83.83,82.44,83.11,81.22,82.53,84.74,81.05,79.47,2.0,1318.0,3.0,1251.0
2006,Germany,Argentina,2.53,3.0,2.87,1,1,draw,-0.3400000000000003,83.83,82.44,83.11,81.22,82.53,84.74,81.05,79.47,16.0,707.0,4.0,772.0
2010,Germany,Australia,1.5,3.9,7.22,4,0,win,-5.72,83.83,82.44,83.11,81.22,72.17,71.56,71.11,69.28,6.0,1173.0,21.0,857.0
2006,Germany,Costa Rica,1.26,4.94,11.36,4,2,win,-10.1,83.83,82.44,83.11,81.22,73.0,73.0,73.0,74.0,16.0,707.0,21.0,700.0
2010,Germany,England,2.89,3.03,2.61,4,1,win,0.28000000000000025,83.83,82.44,83.11,81.22,82.44,83.5,81.56,81.06,6.0,1173.0,9.0,1076.0
2014,Germany,Ghana,1.32,5.61,9.14,2,2,draw,-7.82,83.83,82.44,83.11,81.22,76.0,79.5,74.5,73.5,2.0,1318.0,24.0,851.0
2006,Germany,Italy,2.38,2.88,3.21,0,2,lose,-0.8300000000000001,83.83,82.44,83.11,81.22,82.65,82.24,81.65,81.65,16.0,707.0,12.0,741.0
2018,Germany,Mexico,1.49,4.5,7.48,0,1,lose,-5.99,83.83,82.44,83.11,81.22,76.94,77.28,76.17,75.0,1.0,1602.0,16.0,1032.0
2014,Germany,Portugal,2.05,3.53,3.71,4,0,win,-1.6600000000000001,83.83,82.44,83.11,81.22,81.94,82.33,81.44,80.44,2.0,1318.0,5.0,1172.0
2006,Germany,Portugal,1.85,3.3,4.29,3,1,win,-2.44,83.83,82.44,83.11,81.22,81.94,82.33,81.44,80.44,16.0,707.0,10.0,753.0
2010,Germany,Serbia,1.62,3.73,5.72,0,1,lose,-4.1,83.83,82.44,83.11,81.22,77.67,78.67,77.33,74.33,6.0,1173.0,19.0,916.0
2010,Germany,Spain,2.73,3.32,2.56,0,1,lose,0.16999999999999993,83.83,82.44,83.11,81.22,84.61,83.06,84.44,82.83,6.0,1173.0,1.0,1627.0
2018,Germany,Sweden,1.46,4.63,7.64,2,1,win,-6.18,83.83,82.44,83.11,81.22,75.76,77.47,74.76,74.18,1.0,1602.0,18.0,1000.0
2006,Germany,Sweden,1.63,3.46,5.63,2,0,win,-4.0,83.83,82.44,83.11,81.22,75.76,77.47,74.76,74.18,16.0,707.0,14.0,731.0
2010,Ghana,Australia,2.3,3.14,3.23,1,1,draw,-0.9300000000000002,76.0,79.5,74.5,73.5,72.17,71.56,71.11,69.28,34.0,823.0,21.0,857.0
2010,Ghana,Germany,7.54,4.23,1.45,0,1,lose,6.09,76.0,79.5,74.5,73.5,83.83,82.44,83.11,81.22,34.0,823.0,6.0,1173.0
2014,Ghana,United States,2.42,3.4,2.97,1,2,lose,-0.5500000000000003,76.0,79.5,74.5,73.5,74.39,74.0,73.67,72.5,24.0,851.0,14.0,1019.0
2006,Ghana,United States,2.2,3.25,2.75,2,1,win,-0.5499999999999998,76.0,79.5,74.5,73.5,74.39,74.0,73.67,72.5,50.0,608.0,8.0,767.0
2010,Greece,Argentina,7.09,4.09,1.48,0,2,lose,5.609999999999999,75.12,75.12,74.12,75.12,82.53,84.74,81.05,79.47,13.0,1030.0,8.0,1082.0
2014,Greece,Ivory Coast,3.97,3.57,1.96,2,1,win,2.0100000000000002,75.12,75.12,74.12,75.12,76.0,77.6,75.8,73.8,12.0,1055.0,17.0,912.0
2010,Greece,Nigeria,3.77,3.18,2.07,2,1,win,1.7000000000000002,75.12,75.12,74.12,75.12,77.5,78.5,71.5,75.0,13.0,1030.0,22.0,956.0
2010,Honduras,Chile,5.68,3.47,1.68,0,1,lose,4.0,68.5,68.0,70.0,67.5,76.6,77.2,77.0,73.5,37.0,759.0,15.0,955.0
2014,Honduras,Ecuador,5.7,4.11,1.6,1,2,lose,4.1,68.5,68.0,70.0,67.5,71.88,71.56,70.94,68.94,42.0,692.0,23.0,852.0
2014,Honduras,Switzerland,7.0,4.47,1.48,0,3,lose,5.52,68.5,68.0,70.0,67.5,76.94,74.88,75.81,76.44,42.0,692.0,8.0,1113.0
2018,Iceland,Croatia,4.31,3.94,1.84,1,2,lose,2.4699999999999998,70.67,71.5,71.17,69.33,78.12,78.5,76.75,74.62,22.0,959.0,17.0,1048.0
2006,Iran,Angola,2.4,3.1,2.6,1,1,draw,-0.20000000000000018,75.0,81.0,73.0,72.0,72.0,73.0,71.0,72.0,19.0,703.0,61.0,568.0
2014,Iran,Nigeria,4.79,3.5,1.82,0,0,draw,2.9699999999999998,75.0,81.0,73.0,72.0,77.5,78.5,71.5,75.0,33.0,727.0,37.0,701.0
2018,Iran,Portugal,6.23,4.06,1.6,1,1,draw,4.630000000000001,75.0,81.0,73.0,72.0,81.94,82.33,81.44,80.44,32.0,797.0,3.0,1358.0
