date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,goal_dif
2018,Brazil,Costa Rica,win,1.21,6.69,18.8,2,0,-17.59,82.67,83.17,81.22,82.22,73.0,73.0,73.0,74.0,2.0,1483.0,26.0,831.0,9.670000000000002,10.170000000000002,8.219999999999999,8.219999999999999,-24.0,652.0,2
2014,Brazil,Croatia,win,1.32,5.16,11.26,3,1,-9.94,82.67,83.17,81.22,82.22,78.12,78.5,76.75,74.62,10.0,1102.0,16.0,971.0,4.549999999999997,4.670000000000002,4.469999999999999,7.599999999999994,-6.0,131.0,2
2006,Brazil,Croatia,win,1.4,3.5,8.0,1,0,-6.6,82.67,83.17,81.22,82.22,78.12,78.5,76.75,74.62,1.0,839.0,20.0,701.0,4.549999999999997,4.670000000000002,4.469999999999999,7.599999999999994,-19.0,138.0,1
2006,Brazil,France,lose,1.74,3.25,5.08,0,1,-3.34,82.67,83.17,81.22,82.22,83.28,83.28,82.56,81.72,1.0,839.0,5.0,768.0,-0.6099999999999994,-0.10999999999999943,-1.3400000000000034,0.5,-4.0,71.0,-1
2014,Brazil,Germany,lose,2.69,3.19,2.87,1,7,-0.18000000000000016,82.67,83.17,81.22,82.22,83.83,82.44,83.11,81.22,10.0,1102.0,2.0,1318.0,-1.1599999999999966,0.730000000000004,-1.8900000000000006,1.0,8.0,-216.0,-6
2006,Brazil,Ghana,win,1.26,5.16,10.25,3,0,-8.99,82.67,83.17,81.22,82.22,76.0,79.5,74.5,73.5,1.0,839.0,50.0,608.0,6.670000000000002,3.6700000000000017,6.719999999999999,8.719999999999999,-49.0,231.0,3
2010,Brazil,Ivory Coast,win,1.72,3.44,5.32,3,1,-3.6000000000000005,82.67,83.17,81.22,82.22,76.0,77.6,75.8,73.8,2.0,1568.0,16.0,865.0,6.670000000000002,5.570000000000007,5.420000000000002,8.420000000000002,-14.0,703.0,2
2018,Brazil,Mexico,win,1.5,4.38,7.58,2,0,-6.08,82.67,83.17,81.22,82.22,76.94,77.28,76.17,75.0,2.0,1483.0,16.0,1032.0,5.730000000000004,5.890000000000001,5.049999999999997,7.219999999999999,-14.0,451.0,2
2014,Brazil,Mexico,draw,1.33,5.33,9.34,0,0,-8.01,82.67,83.17,81.22,82.22,76.94,77.28,76.17,75.0,10.0,1102.0,21.0,892.0,5.730000000000004,5.890000000000001,5.049999999999997,7.219999999999999,-11.0,210.0,0
2014,Brazil,Netherlands,lose,2.17,3.7,3.26,0,3,-1.0899999999999999,82.67,83.17,81.22,82.22,81.0,81.47,80.29,78.88,10.0,1102.0,9.0,1106.0,1.6700000000000017,1.7000000000000028,0.9299999999999926,3.3400000000000034,1.0,-4.0,-3
